Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
7,0.239704473191708,0.0989796211082367,YPO2161,YPO3992,YPO0347,YPO3142,YPO0920,YPO0921,YPO3834,,,,,,,,,,
7,0.272350865060948,0.0252957091496455,YPO0793,YPO0918,YPO2161,YPO1109,YPO3142,YPO3520,YPO0921,,,,,,,,,,
7,0.239704473191678,0.09897962110698,YPO2157,YPO2161,YPO3992,YPO0347,YPO3142,YPO2074,YPO3520,,,,,,,,,,
7,0.239704473191708,0.0989796211082367,YPO2157,YPO2161,YPO3992,YPO0347,YPO3142,YPO2074,YPO0920,,,,,,,,,,
8,0.239704473191708,0.0989796211080277,YPO2161,YPO3992,YPO0347,YPO3142,YPO2074,YPO3520,YPO0914,YPO1133,,,,,,,,,
8,0.239704473191702,0.0989796211081284,YPO0793,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO3520,,,,,,,,,
9,0.227522724577618,0.124881543856304,YPO2066,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO0439,,,,,,,,
9,0.227522724577617,0.124881543856417,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO3376,YPO1389,YPO1149,YPO0439,,,,,,,,
9,0.215138937061709,0.152918820209667,YPO1384,YPO0461,YPO0253,YPO2288,YPO2824,YPO3358,YPO3418,YPO0439,YPO2567,,,,,,,,
9,0.227522724577616,0.12488154386202,YPO2066,YPO2161,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO3358,YPO0921,,,,,,,,
9,0.227522724577616,0.12488154386202,YPO2161,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO3358,YPO0921,YPO1149,,,,,,,,
9,0.239704473191704,0.0989796211081825,YPO0793,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO3520,YPO1133,YPO0442,,,,,,,,
10,0.215138937061709,0.152918820210172,YPO1384,YPO3949,YPO0253,YPO2288,YPO2824,YPO0440,YPO3358,YPO3418,YPO2567,YPO1171,,,,,,,
10,0.227522724577618,0.124881543853111,YPO2066,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO3358,YPO0921,,,,,,,
10,0.240744218986675,0.0890012910835678,YPO2161,YPO3992,YPO0347,YPO0460,YPO2288,YPO0436,YPO3142,YPO3358,YPO2067,YPO0921,,,,,,,
10,0.240744218986675,0.0949476732928446,YPO2161,YPO0459,YPO3992,YPO0347,YPO2288,YPO3142,YPO2533,YPO1389,YPO1133,YPO0439,,,,,,,
10,0.259805285866135,0.0517928307968987,YPO0918,YPO2161,YPO0254,YPO2288,YPO1109,YPO3142,YPO1149,YPO1133,YPO0439,YPO0442,,,,,,,
11,0.240744218986675,0.0949476732923813,YPO0461,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO2533,YPO1133,YPO0439,YPO0442,,,,,,
12,0.280752614634432,0.00436743328694544,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO0440,YPO2067,YPO3376,YPO3520,YPO1389,YPO1171,,,,,
12,0.240744218986675,0.0890012910831501,YPO0461,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO3358,YPO2067,YPO3376,YPO0914,,,,,
14,0.279633431006473,0.00690129949190776,YPO0461,YPO0918,YPO2161,YPO0254,YPO3032,YPO0465,YPO2288,YPO1109,YPO0436,YPO3142,YPO0440,YPO2533,YPO1133,YPO0442,,,
17,0.180329593725646,0.00133977139923994,YPO2066,YPO2995,YPO1756,YPO2614,YPO3992,YPO0347,YPO0254,YPO3132,YPO2288,YPO2824,YPO2552,YPO3142,YPO0920,YPO3929,YPO0439,YPO0442,YPO2393
