Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
3,0.24407597108676,0.222782539292671,YPO3285,YPO0463,YPO1149,,,,,,,
3,0.24407597108676,0.222782539292671,YPO2066,YPO3285,YPO0463,,,,,,,
4,0.247178909289817,0.184933169043083,YPO2066,YPO2157,YPO1109,YPO0463,,,,,,
4,0.277035380966752,0.0368065311699022,YPO0793,YPO1109,YPO3520,YPO0921,,,,,,
4,0.277035380966754,0.0368065311695639,YPO1109,YPO3141,YPO0920,YPO0921,,,,,,
4,0.247178909289817,0.184933169043083,YPO1109,YPO0463,YPO0921,YPO1149,,,,,,
4,0.239098974340539,0.250865626666232,YPO2157,YPO2552,YPO1109,YPO0920,,,,,,
5,0.247178909289845,0.184933169044155,YPO2157,YPO1541,YPO1109,YPO0463,YPO2067,,,,,
5,0.276142191889386,0.0418464193071051,YPO3992,YPO0347,YPO0920,YPO0921,YPO2836,,,,,
5,0.277035380966738,0.0368065311718919,YPO1109,YPO3376,YPO3520,YPO0914,YPO3834,,,,,
5,0.229173427386849,0.209180108405715,YPO2066,YPO2157,YPO3992,YPO0347,YPO0463,,,,,
5,0.277035380966754,0.0368065311686473,YPO0793,YPO1109,YPO0920,YPO0914,YPO1133,,,,,
6,0.247178909289803,0.184933169043676,YPO1541,YPO1109,YPO0463,YPO2067,YPO3376,YPO0914,,,,
6,0.256688255168476,0.151616755213797,YPO3992,YPO0347,YPO3141,YPO3520,YPO1133,YPO0442,,,,
10,0.260377296581559,0.0239403890960041,YPO0461,YPO2161,YPO1541,YPO3992,YPO0347,YPO2824,YPO0463,YPO3142,YPO2067,YPO0920
10,0.26037729658156,0.0239403891358111,YPO2066,YPO2614,YPO0459,YPO3992,YPO0347,YPO0254,YPO2824,YPO0463,YPO3142,YPO0920
