Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
4,0.359606707775752,0.0184894306049857,PHATRDRAFT_20183,PHATRDRAFT_19708,PHATRDRAFT_48078,PHATRDRAFT_23913,,,,
4,0.35960670777574,0.0184894306049851,PHATRDRAFT_55035,PHATRDRAFT_48078,PHATRDRAFT_23913,PHATRDRAFT_46728,,,,
4,0.359606707775731,0.0184894306049846,PHATRDRAFT_54219,PHATRDRAFT_20183,PHATRDRAFT_48078,PHATRDRAFT_23913,,,,
4,0.359606707775728,0.00296963883674698,PHATRDRAFT_45947,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,,
4,0.359606707775842,0.00296963883674716,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,PHATRDRAFT_51245,,,,
4,0.35960670777573,0.00296963883674766,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,,
4,0.359606707775842,0.00296963883674716,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,PHATRDRAFT_51245,,,,
4,0.359606707775728,0.00296963883674698,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,,
4,0.359606707775728,0.00296963883674698,PHATRDRAFT_45947,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,,,,
4,0.359606707775842,0.00296963883674716,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,PHATRDRAFT_51830,,,,
5,0.359606707775721,0.0184894306049841,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_48078,PHATRDRAFT_23365,PHATRDRAFT_51245,,,
5,0.359606707775729,0.0184894306049846,PHATRDRAFT_20183,PHATRDRAFT_48078,Phatr3_EG02101,PHATRDRAFT_23365,PHATRDRAFT_51830,,,
5,0.359606707775392,0.0184894306049673,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_19708,PHATRDRAFT_48078,PHATRDRAFT_23365,,,
6,0.359606707775734,0.14551230300057,PHATRDRAFT_draft976,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_41886,PHATRDRAFT_39681,,
6,0.359606707775734,0.0184894306049848,PHATRDRAFT_54219,PHATRDRAFT_49112,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_40430,PHATRDRAFT_48078,,
6,0.359606707775732,0.0184894306049847,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_859,PHATRDRAFT_23913,PHATRDRAFT_42245,,
6,0.359606707775789,0.0184894306049876,PHATRDRAFT_55192,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_35580,PHATRDRAFT_25572,,
6,0.359606707775721,0.0184894306049841,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_41969,PHATRDRAFT_859,PHATRDRAFT_51245,,
6,0.359606707775731,0.145512303000618,PHATRDRAFT_45947,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_28068,PHATRDRAFT_23365,,
7,0.359606707775732,0.145512303000659,PHATRDRAFT_42015,PHATRDRAFT_55192,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_41886,PHATRDRAFT_39681,
8,0.359606707775505,0.145512303000288,Phatr3_EG02215,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_25572,PHATRDRAFT_22019,PHATRDRAFT_51245
