Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.359606707775842,0.0493272007107735,PHATRDRAFT_36821,PHATRDRAFT_859,,
2,0.359606707775802,0.0493272007107681,PHATRDRAFT_36821,PHATRDRAFT_48078,,
2,0.359606707775731,0.0493272007107586,PHATRDRAFT_36821,PHATRDRAFT_23913,,
2,0.35960670777584,0.0493272007107733,PHATRDRAFT_36821,PHATRDRAFT_20310,,
2,0.359606707775732,0.0493272007107584,PHATRDRAFT_36821,PHATRDRAFT_42245,,
2,0.35960670777562,0.0322056617015107,PHATRDRAFT_10454,PHATRDRAFT_48078,,
2,0.359606707775661,0.0322056617015144,PHATRDRAFT_10454,PHATRDRAFT_859,,
3,0.359606707775709,0.0493272007106831,PHATRDRAFT_36821,PHATRDRAFT_41886,PHATRDRAFT_39681,
4,0.359606707775733,0.0220707141631761,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693
4,0.359606707775731,0.0220707141631759,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245
4,0.359606707775487,0.020079636450995,PHATRDRAFT_54478,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_10454
