Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.271579646633985,0.136354534386381,YPO3371,YPO4078,YPO3825,YPO3937,YPO0348,YPO3725,YPO2552,YPO1109,YPO0670,YPO2303,YPO3914,YPO1851,YPO2370,YPO0442,YPO2567,,,,,,,,,,,
16,0.274394646901994,0.133767004502753,YPO3371,YPO4078,YPO3825,YPO3937,YPO3949,YPO3428,YPO0348,YPO3725,YPO2552,YPO1109,YPO0670,YPO2303,YPO3914,YPO1389,YPO1851,YPO2370,,,,,,,,,,
16,0.271821318577208,0.103352413894155,YPO3371,YPO4078,YPO3825,YPO3937,YPO3949,YPO3428,YPO0348,YPO3725,YPO1771,YPO2552,YPO1109,YPO0670,YPO2303,YPO3914,YPO1851,YPO2370,,,,,,,,,,
18,0.232752989615172,0.0133342654756283,YPO3371,YPO4078,YPO3825,YPO3937,YPO3428,YPO0348,YPO3725,YPO1965,YPO0070,YPO1771,YPO2552,YPO0670,YPO2303,YPO3914,YPO1851,YPO2370,YPO0078,YPO0439,,,,,,,,
18,0.232752989615172,0.117880287624834,YPO3371,YPO4078,YPO3825,YPO3937,YPO3428,YPO1962,YPO0348,YPO3725,YPO3011,YPO1771,YPO1109,YPO0670,YPO2303,YPO3914,YPO0920,YPO1851,YPO2370,YPO0439,,,,,,,,
18,0.269010441927823,0.0651650487990279,YPO4078,YPO3825,YPO3937,YPO3428,YPO0348,YPO3992,YPO0347,YPO0460,YPO3725,YPO1145,YPO3014,YPO1771,YPO2552,YPO0670,YPO2303,YPO3914,YPO1851,YPO2370,,,,,,,,
18,0.273229159363959,0.0820962535104592,YPO4078,YPO3825,YPO3937,YPO3949,YPO3428,YPO0348,YPO3992,YPO0347,YPO3725,YPO1145,YPO3014,YPO2552,YPO0670,YPO2303,YPO3914,YPO1389,YPO1851,YPO2370,,,,,,,,
19,0.283558381214825,0.121743626623516,YPO4078,YPO3825,YPO3937,YPO3949,YPO3428,YPO0348,YPO1963,YPO3725,YPO1145,YPO3014,YPO1109,YPO0436,YPO0670,YPO2303,YPO3914,YPO0920,YPO1851,YPO2370,YPO0914,,,,,,,
19,0.275177147658298,0.141825272599384,YPO3371,YPO4078,YPO3825,YPO3937,YPO0461,YPO3428,YPO1962,YPO0348,YPO3992,YPO0347,YPO3725,YPO0670,YPO2303,YPO3914,YPO0920,YPO1389,YPO1851,YPO2370,YPO0439,,,,,,,
19,0.275177147658305,0.141825272601728,YPO3371,YPO4078,YPO3825,YPO3937,YPO0461,YPO3428,YPO0348,YPO3992,YPO0347,YPO3725,YPO1966,YPO0670,YPO2303,YPO3914,YPO0920,YPO1389,YPO1851,YPO2370,YPO0439,,,,,,,
20,0.283558381214824,0.0247041413147882,YPO4078,YPO3825,YPO3937,YPO3428,YPO0459,YPO1962,YPO0348,YPO3725,YPO1145,YPO3014,YPO1109,YPO0436,YPO0670,YPO2303,YPO3914,YPO4056,YPO1851,YPO3418,YPO2370,YPO0442,,,,,,
20,0.273222326260159,0.0821133490669672,YPO4078,YPO3825,YPO3937,YPO3428,YPO0459,YPO0348,YPO3992,YPO0347,YPO3725,YPO3319,YPO1207,YPO1145,YPO3014,YPO2552,YPO0670,YPO2303,YPO3914,YPO3064,YPO1851,YPO0914,,,,,,
21,0.221985439183892,0.117814272165287,YPO3371,YPO4078,YPO3825,YPO3937,YPO3428,YPO0348,YPO3992,YPO0347,YPO3725,YPO3319,YPO1207,YPO0070,YPO1771,YPO1966,YPO0670,YPO2303,YPO3914,YPO3064,YPO1851,YPO0078,YPO0439,,,,,
21,0.283558381214933,0.00668400179571287,YPO3371,YPO1384,YPO4078,YPO3825,YPO3937,YPO3949,YPO3428,YPO0348,YPO3992,YPO3725,YPO1964,YPO2552,YPO0436,YPO0670,YPO2303,YPO3914,YPO1851,YPO3418,YPO2370,YPO0078,YPO0914,,,,,
22,0.283558381214825,0.00648337619505961,YPO3371,YPO4078,YPO3825,YPO3937,YPO3428,YPO0459,YPO0348,YPO3725,YPO3319,YPO1207,YPO2824,YPO1966,YPO2552,YPO0670,YPO2303,YPO3914,YPO3064,YPO0440,YPO0920,YPO1851,YPO0914,YPO1171,,,,
22,0.23275298961517,0.0219509401448516,YPO4078,YPO3825,YPO3937,YPO3428,YPO0348,YPO3992,YPO0347,YPO1963,YPO3725,YPO1145,YPO3014,YPO0070,YPO1771,YPO0670,YPO2303,YPO3914,YPO0440,YPO4056,YPO1851,YPO3418,YPO2370,YPO1171,,,,
23,0.283558381214824,0.00797868233063944,YPO3371,YPO4078,YPO3825,YPO3937,YPO3428,YPO0459,YPO0348,YPO1963,YPO3725,YPO3319,YPO1207,YPO1771,YPO2552,YPO0436,YPO0670,YPO2303,YPO3914,YPO3064,YPO4056,YPO1851,YPO3418,YPO0078,YPO0914,,,
23,0.28355838121493,0.00670698107260481,YPO3371,YPO1384,YPO4078,YPO3825,YPO3937,YPO3428,YPO0459,YPO0348,YPO3992,YPO3725,YPO3319,YPO1207,YPO1966,YPO2552,YPO0436,YPO0670,YPO2303,YPO3914,YPO3064,YPO1389,YPO1851,YPO3418,YPO0078,,,
26,0.232019702229229,0.0103914188262553,YPO3371,YPO1384,YPO4078,YPO3825,YPO3937,YPO3428,YPO3095,YPO0348,YPO3225,YPO3408,YPO1963,YPO3725,YPO3319,YPO1207,YPO0070,YPO1771,YPO2552,YPO0670,YPO2303,YPO3914,YPO3064,YPO2295,YPO3358,YPO2559,YPO1851,YPO3418
