Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,
8,0.0409814256890656,0.0073890232503477,Rv2443,Rv1188,Rv1712,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv0859,,,,,,,,,,,,,,
8,0.0277661005125956,0.00500616871359037,Rv3010c,Rv2443,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv3150,Rv0859,,,,,,,,,,,,,,
8,0.027766100417186,0.00500612495727206,Rv3010c,Rv2443,Rv1188,Rv1712,Rv1098c,Rv0694,Rv3150,Rv0859,,,,,,,,,,,,,,
9,0.0409814256474332,0.00738892004927073,Rv2443,Rv1902c,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv0859,,,,,,,,,,,,,
9,0.0409814255398797,0.00738890991703575,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv2920c,Rv0694,Rv3150,Rv0859,,,,,,,,,,,,,
9,0.0277661004726972,0.00500619671698359,Rv3010c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv0694,Rv3150,Rv0859,,,,,,,,,,,,,
9,0.0277661005195345,0.00500616981857819,Rv3010c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv1872c,Rv3150,Rv0859,,,,,,,,,,,,,
9,0.0277661004726971,0.0050061632475786,Rv3319,Rv0247c,Rv3010c,Rv0248c,Rv2443,Rv1188,Rv1712,Rv1098c,Rv0859,,,,,,,,,,,,,
10,0.0409814257584553,0.00738881837157394,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv1188,Rv1712,Rv1098c,Rv2920c,Rv0859,,,,,,,,,,,,
10,0.0409814256404939,0.00738890853911498,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1188,Rv1712,Rv1872c,Rv2920c,Rv3150,Rv0859,,,,,,,,,,,,
10,0.0409814256474318,0.00738888341284204,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1712,Rv1098c,Rv2920c,Rv0694,Rv0859,,,,,,,,,,,,
10,0.0277661005282081,0.00500620641941276,Rv3319,Rv0247c,Rv3010c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv0859,,,,,,,,,,,,
11,0.0409814255919213,0.00738875115778335,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv2920c,Rv0694,Rv0859,,,,,,,,,,,
11,0.0409814255953908,0.00738891493577211,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1188,Rv1712,Rv2920c,Rv0859,,,,,,,,,,,
12,0.0453414868742345,0.00817506633074583,Rv2443,Rv1908c,Rv2476c,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,
12,0.0229273498684609,0.00413376148740003,Rv3010c,Rv2443,Rv1908c,Rv2476c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,
13,0.0229273499517275,0.00413381250533879,Rv3010c,Rv2443,Rv2476c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,
13,0.0453414868534178,0.00817487233760892,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1908c,Rv2476c,Rv1188,Rv1712,Rv1098c,Rv2920c,Rv2780,Rv0084,Rv0859,,,,,,,,,
13,0.0229273498962163,0.00413390119082811,Rv3010c,Rv2443,Rv1908c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,
13,0.0453414867979073,0.00817504256629838,Rv2443,Rv2476c,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,
14,0.0346884714899973,0.00625436968940437,Rv2443,Rv1908c,Rv1826,Rv2476c,Rv1902c,Rv2211c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,Rv1475c,,,,,,,,
14,0.0229273498962165,0.00413393997596109,Rv3010c,Rv2443,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,
