Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,
8,0.367815781314773,0.101602366298884,STM4340,STM3359,STM1566,STM2472,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,,,,
9,0.367939960591809,0.101636668547529,STM4340,STM1469,STM0761,STM1468,STM4300,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,,,
15,0.29352753791596,0.0439848080291669,STM2421,STM2285,STM4568,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
16,0.298065018383371,0.0446647449397212,STM2421,STM2285,STM4568,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,
16,0.293527537915949,0.0439848080291606,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1620,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,
16,0.293513774657406,0.0439827456186357,STM2421,STM2285,STM1750,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,
17,0.293527537915952,0.0439848080291702,STM2927,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,
17,0.296138452032891,0.0394404100314588,STM3646,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,
17,0.199030940482829,0.0298245874004512,STM2285,STM4568,STM1620,STM2081,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473,,,,,,
18,0.298065018383373,0.0446647449397319,STM2927,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,
18,0.293527537915957,0.0439848080291179,STM2927,STM1469,STM0761,STM1468,STM4300,STM2285,STM1620,STM0974,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,
18,0.30075764802167,0.0400556053312731,STM3646,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,
18,0.19903094048283,0.029824587400655,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1620,STM2081,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473,,,,,
18,0.298065018383371,0.0446647449397259,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,
19,0.204918443103866,0.0307068237806508,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1570,STM1620,STM4036,STM2081,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473,,,,
19,0.200546216742056,0.0267092130868936,STM3646,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM2081,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473,,,,
21,0.199030940482809,0.0298245874002532,STM4482,STM1469,STM0761,STM1468,STM4300,STM2285,STM3512,STM3541,STM4568,STM1620,STM0974,STM0785,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473,,
22,0.200546216742055,0.0267092130869106,STM3646,STM4482,STM1469,STM0761,STM1468,STM4300,STM2285,STM3512,STM3541,STM4568,STM1135,STM0974,STM0785,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473,
23,0.199030940482828,0.0298245874003016,STM1469,STM0761,STM1468,STM4300,STM2285,STM1886,STM1620,STM3542,STM4485,STM0974,STM1211,STM2317,STM3179,STM3968,STM3885,STM3793,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473,STM3334
