Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.802306368091325,0.836638662235622,b3942,b1732,b1479,b3236,b2463,b2210,b3551,b4138,b4123,b0621,b4219,b1832,b1778,b1710,b2480,b1206,b0606,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.802456694533754,0.833662630350739,b3942,b1732,b1479,b3844,b3236,b2463,b2210,b3551,b4138,b4123,b0621,b4219,b1832,b1778,b1710,b2480,b1206,b0606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.569375823339009,0.731550854412065,b4467,b1478,b3942,b1732,b1241,b0351,b2779,b1004,b3713,b1109,b0046,b2463,b2210,b3551,b2799,b3945,b1602,b4138,b4123,b0621,b4219,b1832,b1778,b3915,b0452,b0529,b1380,b1710,b2480,b1206,b0606,b2285,b1011,b4209,,,,,,,,,,,,,,,,
34,0.577428024163371,0.599883045143857,b3553,b1478,b3942,b1732,b1241,b0351,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b2463,b0937,b2210,b1033,b3551,b3945,b1602,b4138,b4123,b0621,b4219,b1832,b1778,b0529,b1380,b1710,b2480,b1206,b0606,b2285,b1007,,,,,,,,,,,,,,,,
35,0.592346384478193,0.203574939863466,b3553,b1478,b3942,b1732,b1241,b0351,b2926,b3844,b1004,b3713,b1109,b0046,b2463,b2210,b1033,b3551,b2799,b3945,b1602,b4138,b4123,b0621,b2223,b4219,b1832,b1778,b3915,b0529,b1380,b1710,b2480,b1206,b0606,b2285,b1007,,,,,,,,,,,,,,,
40,0.424117072970063,1.57965711942549,b3553,b3942,b1732,b4069,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b1779,b2463,b0937,b2210,b1033,b3551,b2799,b3945,b1602,b4138,b4123,b0621,b4219,b1832,b1778,b4381,b1727,b0114,b0529,b2492,b0904,b1380,b1710,b2480,b1511,b1206,b0606,b2285,b1011,,,,,,,,,,
41,0.556612934496412,0.0983117596550229,b1478,b3942,b1732,b1241,b0351,b4069,b1479,b2297,b2458,b2779,b3617,b3236,b2463,b3962,b0104,b2210,b4267,b1415,b3551,b1014,b3945,b4138,b4123,b0621,b2913,b4219,b1832,b1778,b0114,b0509,b3125,b1539,b2835,b1380,b0325,b1710,b2480,b0494,b4266,b1206,b4209,,,,,,,,,
42,0.355677077739056,0.738003260507064,b4467,b3942,b1732,b4069,b0871,b2297,b2458,b2925,b2097,b1004,b3713,b1109,b0046,b1779,b2463,b3946,b2210,b0825,b3551,b2799,b3945,b1602,b2342,b3845,b4138,b4123,b0621,b4219,b1832,b1778,b4381,b1727,b0114,b2492,b0904,b1380,b1710,b2480,b1206,b0606,b2285,b4209,,,,,,,,
42,0.38613823011643,0.202003195216356,b3553,b1478,b3942,b1732,b1241,b4069,b0871,b2297,b2458,b2925,b2097,b1004,b3713,b1109,b0046,b1779,b2463,b3946,b2210,b0825,b1033,b3551,b2799,b3945,b1602,b4138,b4123,b0621,b4219,b1832,b1778,b0114,b0529,b2492,b0904,b1380,b1710,b2480,b1206,b0606,b2285,b4209,,,,,,,,
42,0.504979456886368,0.086957361658433,b3553,b1478,b3942,b1732,b1241,b0351,b1479,b2925,b2097,b3617,b3844,b3236,b0907,b1779,b2463,b3962,b1525,b0104,b3946,b2210,b0825,b4267,b1033,b1415,b3551,b1014,b2799,b0726,b3945,b4138,b4123,b0621,b4219,b1832,b1778,b0114,b1539,b1380,b1710,b2480,b4266,b1206,,,,,,,,
47,0.440396108684743,0.0774078183428131,b3942,b1732,b3846,b1241,b0351,b3073,b1479,b2779,b2925,b2097,b3236,b2690,b2463,b3962,b0104,b3616,b3589,b2210,b4267,b0675,b1415,b3551,b1014,b0822,b0726,b4388,b4138,b4123,b0621,b4219,b1832,b1778,b1727,b0114,b0509,b3125,b2492,b0904,b1380,b0325,b1710,b2480,b4042,b4266,b1813,b1206,b4209,,,
50,0.387241666535761,0.706021523581656,b3553,b3942,b1732,b1241,b0351,b4069,b4384,b1479,b3752,b2297,b2458,b2779,b3617,b2407,b3844,b3236,b0517,b1779,b2463,b3962,b0104,b2210,b4267,b1033,b1415,b3551,b1014,b0261,b3945,b4138,b4123,b0621,b4219,b1832,b1778,b4381,b0112,b3915,b0114,b0529,b1539,b2492,b0904,b3927,b1380,b0325,b1710,b2480,b4266,b1206
