Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.512080802920467,0.982077013174305,b0474,b2518,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2781,b0099,b3617,b2883,b4374,b2361,b2291,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b2954,b3662,b1517,,,,,,,,,,,,,,,,,,
32,0.544383093702661,0.815231647462073,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2407,b2797,b3117,b1814,b4471,b3616,b3589,b3449,b3665,b2239,b2406,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3662,b1517,,,,,,,,,,,,,,,,,
32,0.761512139158236,0.0146042588976176,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b3449,b4381,b2406,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b2366,b0529,b2492,b0904,b2578,b1533,b3927,b0494,b4141,b1798,b3662,b1518,,,,,,,,,,,,,,,,,
33,0.373683929363804,0.587719247269681,b3553,b1478,b4382,b1241,b4069,b4384,b3752,b2297,b2458,b2926,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b1033,b0261,b0411,b2799,b3945,b1602,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1007,,,,,,,,,,,,,,,,
33,0.712037291002089,0.302520198241914,b4382,b4069,b4384,b3708,b3008,b3752,b3115,b1849,b2296,b2407,b2797,b3117,b1814,b4471,b3665,b2406,b2943,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b2947,b2578,b1533,b3927,b3825,b0494,b0594,b3662,b1518,,,,,,,,,,,,,,,,
33,0.365659347953362,0.286183763998679,b4467,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b4374,b0675,b2361,b2291,b0261,b1602,b1727,b0114,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,,,,,,,
34,0.359592332353688,0.564595471540915,b3553,b1478,b1241,b4069,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b0411,b2799,b3945,b1602,b2913,b4381,b3915,b3654,b3714,b3664,b4064,b4464,b0529,b2492,b0904,b1380,b1511,b0606,b2285,b1010,,,,,,,,,,,,,,,
34,0.643308442092426,0.273223602731606,b3399,b4069,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b2883,b1779,b2797,b3117,b1814,b4471,b1623,b3665,b4374,b2361,b2291,b0261,b0411,b3654,b3714,b3664,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,
35,0.648912576972743,0.274877637192187,b4069,b4384,b2744,b3708,b3008,b3752,b3115,b1849,b2296,b2883,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b1701,b1805,b4381,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3662,,,,,,,,,,,,,,
35,0.462162463977222,0.220804009653095,b4467,b1054,b1478,b1241,b4069,b4384,b2297,b2458,b2926,b0030,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b0411,b2799,b3945,b1602,b2913,b2223,b4381,b3915,b4064,b4464,b0529,b2492,b0904,b1380,b0606,b2285,b1010,b4209,,,,,,,,,,,,,,
