Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,
11,0.117229474791926,0.786267333015813,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YJL121C,YLR348C,YKL141W,YDR178W,YDL085W,YMR145C,,
11,0.169591752170753,0.334036943455711,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YLL043W,YOR323C,YMR250W,YGR244C,YLR348C,,
13,0.169591752170753,0.334036918318123,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR375C,YAL062W,YLR348C,YKL141W,YDR178W,YDL085W,YMR145C
11,0.163933427348058,0.87336148973377,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YDR148C,YLL043W,YOR323C,YMR250W,YLR348C,,
12,0.148082860757638,2.22393014159042,YHR104W,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YCL025C,YKR039W,YLL043W,
13,0.110621879832848,1.7128622794094,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR348C,YPL265W,YCL025C,YKR039W,YOL020W
13,0.163933427341987,0.873361483321389,YHR104W,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YCL025C,YKR039W,YIL053W,YER062C
