Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.224237840324224,0.076151170622465,YNR001C,YPR001W,,
2,0.259131598986793,0.0351727957226116,UNKNOWN,YBR291C,,
2,0.276428253392019,0.0140149124199525,YFR055W,YLR303W,,
2,0.280785650637366,0.00972922277172127,YLR043C,YDR353W,,
2,0.276428253197731,0.014014912437125,YFR055W,YNL277W,,
3,0.224070783868339,0.0760944381676156,YKL106W,YKL085W,YKL120W,
4,0.250520265792808,0.0425383411227553,YKL106W,YPL262W,YOL126C,YKL120W
4,0.2586607081665,0.0351088801010822,YDR035W,YLR348C,YKL085W,YKL029C
4,0.258660708222011,0.0351088801500248,YBR291C,YLR348C,YKL085W,YKL029C
4,0.271142391066973,0.0184015302546104,YDR035W,YPL262W,YLR348C,YOL126C
4,0.271142391051792,0.0184015302795164,YBR291C,YPL262W,YLR348C,YOL126C
